date,sku,on_hand,cost,reorder_point,category,brand
2023-01-01,VIK-1019K,81,85.36,13,Kleding,Viking
2023-01-01,VIK-1000A,3,69.54,16,Accessoires,Viking
2023-01-01,VIK-1001A,29,75.56,19,Accessoires,Viking
2023-01-01,VIK-1002A,35,95.54,5,Accessoires,Viking
2023-01-01,VIK-1003A,3,65.7,6,Accessoires,Viking
2023-01-01,VIK-1004A,91,54.83,10,Accessoires,Viking
2023-01-01,VIK-1005A,50,85.85,6,Accessoires,Viking
2023-01-01,VIK-1006A,56,30.98,16,Accessoires,Viking
2023-01-01,VIK-1007A,9,75.62,17,Accessoires,Viking
2023-01-01,VIK-1008A,8,29.47,19,Accessoires,Viking
2023-01-01,VIK-1009A,66,30.34,6,Accessoires,Viking
2023-01-01,VIK-1010A,42,35.83,21,Accessoires,Viking
2023-01-01,VIK-1011A,117,62.4,10,Accessoires,Viking
2023-01-01,VIK-1012A,49,67.42,7,Accessoires,Viking
2023-01-01,VIK-1013A,73,41.85,16,Accessoires,Viking
2023-01-01,VIK-1014A,94,112.48,20,Accessoires,Viking
2023-01-01,VIK-1015A,34,55.84,13,Accessoires,Viking
2023-01-01,VIK-1016A,77,110.08,14,Accessoires,Viking
2023-01-01,VIK-1017A,3,15.89,18,Accessoires,Viking
2023-01-01,VIK-1018A,17,55.64,20,Accessoires,Viking
2023-01-01,VIK-1019A,118,104.36,9,Accessoires,Viking
2023-01-01,VIK-1000S,116,54.5,17,Slijpen,Viking
2023-01-01,VIK-1001S,102,18.97,5,Slijpen,Viking
2023-01-01,VIK-1002S,97,20.79,19,Slijpen,Viking
2023-01-01,VIK-1003S,68,103.57,18,Slijpen,Viking
2023-01-01,VIK-1004S,38,114.58,19,Slijpen,Viking
2023-01-01,VIK-1005S,113,32.5,21,Slijpen,Viking
2023-01-01,VIK-1006S,22,36.02,22,Slijpen,Viking
2023-01-01,VIK-1007S,52,39.36,16,Slijpen,Viking
2023-01-01,VIK-1008S,73,51.47,23,Slijpen,Viking
2023-01-01,VIK-1009S,80,80.42,23,Slijpen,Viking
2023-01-01,VIK-1010S,12,18.53,21,Slijpen,Viking
2023-01-01,VIK-1011S,115,99.29,20,Slijpen,Viking
2023-01-01,VIK-1012S,103,100.06,24,Slijpen,Viking
2023-01-01,VIK-1013S,85,100.23,22,Slijpen,Viking
2023-01-01,VIK-1014S,119,71.09,13,Slijpen,Viking
2023-01-01,VIK-1015S,76,27.45,10,Slijpen,Viking
2023-01-01,VIK-1016S,50,49.01,18,Slijpen,Viking
2023-01-01,VIK-1017S,93,118.74,16,Slijpen,Viking
2023-01-01,VIK-1018S,7,117.73,17,Slijpen,Viking
2023-01-01,VIK-1019S,15,18.01,9,Slijpen,Viking
2023-01-01,VIK-1000B,5,107.07,5,Bescherming,Viking
2023-01-01,VIK-1001B,8,115.52,21,Bescherming,Viking
2023-01-01,VIK-1002B,95,45.48,17,Bescherming,Viking
2023-01-01,VIK-1003B,115,53.72,9,Bescherming,Viking
2023-01-01,VIK-1004B,48,106.5,18,Bescherming,Viking
2023-01-01,VIK-1005B,110,107.14,18,Bescherming,Viking
2023-01-01,VIK-1006B,74,91.14,24,Bescherming,Viking
2023-01-01,VIK-1007B,80,94.38,11,Bescherming,Viking
2023-01-01,VIK-1008B,98,118.06,9,Bescherming,Viking
2023-01-01,VIK-1009B,100,95.6,14,Bescherming,Viking
2023-01-01,VIK-1010B,64,91.31,17,Bescherming,Viking
2023-01-01,VIK-1011B,46,74.17,20,Bescherming,Viking
2023-01-01,VIK-1012B,39,15.1,16,Bescherming,Viking
2023-01-01,VIK-1013B,2,29.87,11,Bescherming,Viking
2023-01-01,VIK-1014B,85,96.28,22,Bescherming,Viking
2023-01-01,VIK-1015B,105,35.08,10,Bescherming,Viking
2023-01-01,VIK-1016B,41,76.26,13,Bescherming,Viking
2023-01-01,VIK-1017B,48,62.32,7,Bescherming,Viking
2023-01-01,VIK-1018B,26,36.98,16,Bescherming,Viking
2023-01-01,VIK-1019B,52,106.46,11,Bescherming,Viking
2023-01-01,MAP-1000S,94,99.17,17,Schaatsen,Maple
2023-01-01,MAP-1001S,66,33.79,7,Schaatsen,Maple
2023-01-01,MAP-1002S,82,76.34,21,Schaatsen,Maple
2023-01-01,MAP-1003S,112,65.45,16,Schaatsen,Maple
2023-01-01,MAP-1004S,104,62.74,8,Schaatsen,Maple
2023-01-01,MAP-1005S,96,79.98,11,Schaatsen,Maple
2023-01-01,MAP-1006S,61,64.32,19,Schaatsen,Maple
2023-01-01,MAP-1007S,64,68.31,7,Schaatsen,Maple
2023-01-01,MAP-1008S,54,117.1,21,Schaatsen,Maple
2023-01-01,MAP-1009S,83,64.3,20,Schaatsen,Maple
2023-01-01,MAP-1010S,110,102.57,15,Schaatsen,Maple
2023-01-01,MAP-1011S,98,85.09,6,Schaatsen,Maple
2023-01-01,MAP-1012S,20,49.42,23,Schaatsen,Maple
2023-01-01,MAP-1013S,5,82.75,23,Schaatsen,Maple
2023-01-01,MAP-1014S,67,96.51,15,Schaatsen,Maple
2023-01-01,MAP-1015S,0,105.15,24,Schaatsen,Maple
2023-01-01,MAP-1016S,100,58.38,21,Schaatsen,Maple
2023-01-01,MAP-1017S,28,92.48,17,Schaatsen,Maple
2023-01-01,MAP-1018S,71,84.24,10,Schaatsen,Maple
2023-01-01,MAP-1019S,68,89.71,6,Schaatsen,Maple
2023-01-01,MAP-1000S,25,51.13,16,Schoenen,Maple
2023-01-01,MAP-1001S,4,93.3,18,Schoenen,Maple
2023-01-01,MAP-1002S,33,39.05,6,Schoenen,Maple
2023-01-01,MAP-1003S,29,39.44,18,Schoenen,Maple
2023-01-01,MAP-1004S,18,98.49,18,Schoenen,Maple
2023-01-01,MAP-1005S,95,90.26,22,Schoenen,Maple
2023-01-01,MAP-1006S,2,99.8,12,Schoenen,Maple
2023-01-01,MAP-1007S,20,43.3,18,Schoenen,Maple
2023-01-01,MAP-1008S,72,16.33,18,Schoenen,Maple
2023-01-01,MAP-1009S,80,44.59,6,Schoenen,Maple
2023-01-01,MAP-1010S,4,72.86,7,Schoenen,Maple
2023-01-01,MAP-1011S,100,54.26,18,Schoenen,Maple
2023-01-01,MAP-1012S,99,113.53,12,Schoenen,Maple
2023-01-01,MAP-1013S,33,49.98,5,Schoenen,Maple
2023-01-01,MAP-1014S,27,94.3,16,Schoenen,Maple
2023-01-01,MAP-1015S,22,34.21,8,Schoenen,Maple
2023-01-01,MAP-1016S,114,35.71,11,Schoenen,Maple
2023-01-01,MAP-1017S,34,15.86,16,Schoenen,Maple
2023-01-01,MAP-1018S,100,36.63,15,Schoenen,Maple
2023-01-01,MAP-1019S,65,77.33,5,Schoenen,Maple
2023-01-01,MAP-1000K,51,100.03,17,Kleding,Maple
2023-01-01,MAP-1001K,78,30.49,12,Kleding,Maple
2023-01-01,MAP-1002K,4,43.34,13,Kleding,Maple
2023-01-01,MAP-1003K,87,26.85,11,Kleding,Maple
2023-01-01,MAP-1004K,36,101.56,11,Kleding,Maple
2023-01-01,MAP-1005K,76,37.62,5,Kleding,Maple
2023-01-01,MAP-1006K,77,28.32,11,Kleding,Maple
2023-01-01,MAP-1007K,21,94.94,23,Kleding,Maple
2023-01-01,MAP-1008K,15,47.7,8,Kleding,Maple
2023-01-01,MAP-1009K,45,26.61,21,Kleding,Maple
2023-01-01,MAP-1010K,98,116.81,8,Kleding,Maple
2023-01-01,MAP-1011K,32,32.18,8,Kleding,Maple
2023-01-01,MAP-1012K,53,16.13,7,Kleding,Maple
2023-01-01,MAP-1013K,13,29.63,18,Kleding,Maple
2023-01-01,MAP-1014K,101,49.42,10,Kleding,Maple
2023-01-01,MAP-1015K,118,52.78,13,Kleding,Maple
2023-01-01,MAP-1016K,59,73.76,6,Kleding,Maple
2023-01-01,MAP-1017K,95,28.44,5,Kleding,Maple
2023-01-01,MAP-1018K,46,51.39,6,Kleding,Maple
2023-01-01,MAP-1019K,73,88.12,24,Kleding,Maple
2023-01-01,MAP-1000A,105,21.82,5,Accessoires,Maple
2023-01-01,MAP-1001A,28,33.16,17,Accessoires,Maple
2023-01-01,MAP-1002A,13,68.02,10,Accessoires,Maple
2023-01-01,MAP-1003A,39,24.99,11,Accessoires,Maple
2023-01-01,MAP-1004A,40,67.21,12,Accessoires,Maple
2023-01-01,MAP-1005A,105,90.43,15,Accessoires,Maple
2023-01-01,MAP-1006A,39,42.8,20,Accessoires,Maple
2023-01-01,MAP-1007A,45,104.27,14,Accessoires,Maple
2023-01-01,MAP-1008A,92,83.32,12,Accessoires,Maple
2023-01-01,MAP-1009A,55,71.49,5,Accessoires,Maple
2023-01-01,MAP-1010A,86,33.4,5,Accessoires,Maple
2023-01-01,MAP-1011A,101,18.57,6,Accessoires,Maple
2023-01-01,MAP-1012A,66,22.39,5,Accessoires,Maple
2023-01-01,MAP-1013A,4,53.47,14,Accessoires,Maple
2023-01-01,MAP-1014A,46,55.32,14,Accessoires,Maple
2023-01-01,MAP-1015A,7,119.49,10,Accessoires,Maple
2023-01-01,MAP-1016A,0,44.88,17,Accessoires,Maple
2023-01-01,MAP-1017A,88,97.75,7,Accessoires,Maple
2023-01-01,MAP-1018A,98,72.24,14,Accessoires,Maple
2023-01-01,MAP-1019A,105,93.96,11,Accessoires,Maple
2023-01-01,MAP-1000S,93,35.63,14,Slijpen,Maple
2023-01-01,MAP-1001S,4,57.02,9,Slijpen,Maple
2023-01-01,MAP-1002S,103,101.59,9,Slijpen,Maple
2023-01-01,MAP-1003S,44,86.1,10,Slijpen,Maple
2023-01-01,MAP-1004S,11,89.58,5,Slijpen,Maple
2023-01-01,MAP-1005S,88,19.88,6,Slijpen,Maple
2023-01-01,MAP-1006S,70,109.82,10,Slijpen,Maple
2023-01-01,MAP-1007S,9,46.28,12,Slijpen,Maple
2023-01-01,MAP-1008S,49,68.26,24,Slijpen,Maple
2023-01-01,MAP-1009S,119,79.93,7,Slijpen,Maple
2023-01-01,MAP-1010S,45,22.26,10,Slijpen,Maple
2023-01-01,MAP-1011S,78,110.74,12,Slijpen,Maple
2023-01-01,MAP-1012S,4,45.2,14,Slijpen,Maple
2023-01-01,MAP-1013S,13,31.16,15,Slijpen,Maple
2023-01-01,MAP-1014S,103,118.86,15,Slijpen,Maple
2023-01-01,MAP-1015S,76,112.26,11,Slijpen,Maple
2023-01-01,MAP-1016S,62,112.19,11,Slijpen,Maple
2023-01-01,MAP-1017S,20,38.16,8,Slijpen,Maple
2023-01-01,MAP-1018S,62,30.97,6,Slijpen,Maple
2023-01-01,MAP-1019S,66,90.27,23,Slijpen,Maple
2023-01-01,MAP-1000B,60,55.52,12,Bescherming,Maple
2023-01-01,MAP-1001B,26,20.62,23,Bescherming,Maple
2023-01-01,MAP-1002B,42,79.8,16,Bescherming,Maple
2023-01-01,MAP-1003B,3,67.73,10,Bescherming,Maple
2023-01-01,MAP-1004B,66,42.27,16,Bescherming,Maple
2023-01-01,MAP-1005B,55,23.01,11,Bescherming,Maple
2023-01-01,MAP-1006B,25,70.36,15,Bescherming,Maple
2023-01-01,MAP-1007B,49,49.99,22,Bescherming,Maple
2023-01-01,MAP-1008B,117,93.08,7,Bescherming,Maple
2023-01-01,MAP-1009B,43,22.73,7,Bescherming,Maple
2023-01-01,MAP-1010B,81,20.98,15,Bescherming,Maple
2023-01-01,MAP-1011B,80,64.26,6,Bescherming,Maple
2023-01-01,MAP-1012B,114,76.97,13,Bescherming,Maple
2023-01-01,MAP-1013B,29,32.02,22,Bescherming,Maple
2023-01-01,MAP-1014B,65,27.0,11,Bescherming,Maple
2023-01-01,MAP-1015B,104,105.29,6,Bescherming,Maple
2023-01-01,MAP-1016B,27,25.08,15,Bescherming,Maple
2023-01-01,MAP-1017B,1,101.0,8,Bescherming,Maple
2023-01-01,MAP-1018B,48,103.36,24,Bescherming,Maple
2023-01-01,MAP-1019B,71,30.01,13,Bescherming,Maple
2023-01-01,EHS-1000S,39,66.23,22,Schaatsen,EHS
2023-01-01,EHS-1001S,103,112.74,15,Schaatsen,EHS
2023-01-01,EHS-1002S,75,90.03,5,Schaatsen,EHS
2023-01-01,EHS-1003S,71,48.38,10,Schaatsen,EHS
2023-01-01,EHS-1004S,46,57.49,10,Schaatsen,EHS
2023-01-01,EHS-1005S,70,92.54,7,Schaatsen,EHS
2023-01-01,EHS-1006S,83,82.07,8,Schaatsen,EHS
2023-01-01,EHS-1007S,90,117.48,23,Schaatsen,EHS
2023-01-01,EHS-1008S,70,64.44,6,Schaatsen,EHS
2023-01-01,EHS-1009S,65,60.17,20,Schaatsen,EHS
2023-01-01,EHS-1010S,15,42.89,7,Schaatsen,EHS
2023-01-01,EHS-1011S,82,62.17,6,Schaatsen,EHS
2023-01-01,EHS-1012S,94,35.29,16,Schaatsen,EHS
2023-01-01,EHS-1013S,68,39.88,16,Schaatsen,EHS
2023-01-01,EHS-1014S,70,101.11,16,Schaatsen,EHS
2023-01-01,EHS-1015S,70,40.37,18,Schaatsen,EHS
2023-01-01,EHS-1016S,62,116.59,9,Schaatsen,EHS
2023-01-01,EHS-1017S,99,42.63,22,Schaatsen,EHS
2023-01-01,EHS-1018S,108,78.49,9,Schaatsen,EHS
2023-01-01,EHS-1019S,113,74.67,6,Schaatsen,EHS
2023-01-01,EHS-1000S,102,24.8,23,Schoenen,EHS
2023-01-01,EHS-1001S,93,105.44,13,Schoenen,EHS
2023-01-01,EHS-1002S,111,25.1,17,Schoenen,EHS
2023-01-01,EHS-1003S,15,63.97,10,Schoenen,EHS
2023-01-01,EHS-1004S,66,88.3,20,Schoenen,EHS
2023-01-01,EHS-1005S,4,40.99,24,Schoenen,EHS
2023-01-01,EHS-1006S,43,58.75,12,Schoenen,EHS
2023-01-01,EHS-1007S,99,69.37,19,Schoenen,EHS
2023-01-01,EHS-1008S,51,60.14,20,Schoenen,EHS
2023-01-01,EHS-1009S,74,15.73,5,Schoenen,EHS
2023-01-01,EHS-1010S,2,54.22,10,Schoenen,EHS
2023-01-01,EHS-1011S,115,91.89,20,Schoenen,EHS
2023-01-01,EHS-1012S,84,53.62,23,Schoenen,EHS
2023-01-01,EHS-1013S,37,107.19,24,Schoenen,EHS
2023-01-01,EHS-1014S,39,37.65,16,Schoenen,EHS
2023-01-01,EHS-1015S,107,33.05,23,Schoenen,EHS
2023-01-01,EHS-1016S,37,108.21,20,Schoenen,EHS
2023-01-01,EHS-1017S,118,40.78,19,Schoenen,EHS
2023-01-01,EHS-1018S,74,15.97,18,Schoenen,EHS
2023-01-01,EHS-1019S,0,45.19,22,Schoenen,EHS
2023-01-01,EHS-1000K,42,116.86,17,Kleding,EHS
2023-01-01,EHS-1001K,29,95.31,11,Kleding,EHS
2023-01-01,EHS-1002K,2,69.38,20,Kleding,EHS
2023-01-01,EHS-1003K,93,24.64,11,Kleding,EHS
2023-01-01,EHS-1004K,10,24.88,13,Kleding,EHS
2023-01-01,EHS-1005K,69,55.47,7,Kleding,EHS
2023-01-01,EHS-1006K,7,35.22,5,Kleding,EHS
2023-01-01,EHS-1007K,90,88.55,16,Kleding,EHS
2023-01-01,EHS-1008K,45,72.37,12,Kleding,EHS
2023-01-01,EHS-1009K,46,71.34,6,Kleding,EHS
2023-01-01,EHS-1010K,50,99.99,17,Kleding,EHS
2023-01-01,EHS-1011K,94,49.99,24,Kleding,EHS
2023-01-01,EHS-1012K,100,31.29,20,Kleding,EHS
2023-01-01,EHS-1013K,80,45.28,17,Kleding,EHS
2023-01-01,EHS-1014K,90,119.03,23,Kleding,EHS
2023-01-01,EHS-1015K,92,119.48,6,Kleding,EHS
2023-01-01,EHS-1016K,82,78.85,5,Kleding,EHS
2023-01-01,EHS-1017K,81,47.59,10,Kleding,EHS
2023-01-01,EHS-1018K,27,24.33,5,Kleding,EHS
2023-01-01,EHS-1019K,114,29.37,24,Kleding,EHS
2023-01-01,EHS-1000A,98,90.4,8,Accessoires,EHS
2023-01-01,EHS-1001A,36,119.67,23,Accessoires,EHS
2023-01-01,EHS-1002A,56,108.91,22,Accessoires,EHS
2023-01-01,EHS-1003A,63,49.63,24,Accessoires,EHS
2023-01-01,EHS-1004A,50,31.14,5,Accessoires,EHS
2023-01-01,EHS-1005A,3,115.05,10,Accessoires,EHS
2023-01-01,EHS-1006A,102,35.8,17,Accessoires,EHS
2023-01-01,EHS-1007A,116,22.19,7,Accessoires,EHS
2023-01-01,EHS-1008A,29,78.27,16,Accessoires,EHS
2023-01-01,EHS-1009A,59,88.74,17,Accessoires,EHS
2023-01-01,EHS-1010A,39,48.42,16,Accessoires,EHS
2023-01-01,EHS-1011A,103,36.02,24,Accessoires,EHS
2023-01-01,EHS-1012A,105,59.41,22,Accessoires,EHS
2023-01-01,EHS-1013A,10,53.8,20,Accessoires,EHS
2023-01-01,EHS-1014A,82,102.67,17,Accessoires,EHS
2023-01-01,EHS-1015A,94,16.2,13,Accessoires,EHS
2023-01-01,EHS-1016A,13,106.69,20,Accessoires,EHS
2023-01-01,EHS-1017A,97,34.92,5,Accessoires,EHS
2023-01-01,EHS-1018A,114,46.72,14,Accessoires,EHS
2023-01-01,EHS-1019A,119,94.43,23,Accessoires,EHS
2023-01-01,EHS-1000S,7,35.94,23,Slijpen,EHS
2023-01-01,EHS-1001S,61,32.54,6,Slijpen,EHS
2023-01-01,EHS-1002S,27,48.2,10,Slijpen,EHS
2023-01-01,EHS-1003S,71,83.97,12,Slijpen,EHS
2023-01-01,EHS-1004S,59,39.02,12,Slijpen,EHS
2023-01-01,EHS-1005S,96,60.1,13,Slijpen,EHS
2023-01-01,EHS-1006S,14,48.79,18,Slijpen,EHS
2023-01-01,EHS-1007S,64,59.04,17,Slijpen,EHS
2023-01-01,EHS-1008S,114,44.79,12,Slijpen,EHS
2023-01-01,EHS-1009S,43,37.87,23,Slijpen,EHS
2023-01-01,EHS-1010S,67,33.44,23,Slijpen,EHS
2023-01-01,EHS-1011S,0,85.07,19,Slijpen,EHS
2023-01-01,EHS-1012S,107,59.43,16,Slijpen,EHS
2023-01-01,EHS-1013S,71,24.95,17,Slijpen,EHS
2023-01-01,EHS-1014S,22,100.25,9,Slijpen,EHS
2023-01-01,EHS-1015S,85,102.2,14,Slijpen,EHS
2023-01-01,EHS-1016S,1,77.56,11,Slijpen,EHS
2023-01-01,EHS-1017S,29,106.18,14,Slijpen,EHS
2023-01-01,EHS-1018S,45,61.34,12,Slijpen,EHS
2023-01-01,EHS-1019S,83,111.08,12,Slijpen,EHS
2023-01-01,EHS-1000B,14,109.26,9,Bescherming,EHS
2023-01-01,EHS-1001B,76,69.48,8,Bescherming,EHS
2023-01-01,EHS-1002B,58,85.76,24,Bescherming,EHS
2023-01-01,EHS-1003B,97,54.52,24,Bescherming,EHS
2023-01-01,EHS-1004B,117,88.12,8,Bescherming,EHS
2023-01-01,EHS-1005B,43,49.11,10,Bescherming,EHS
2023-01-01,EHS-1006B,77,104.51,5,Bescherming,EHS
2023-01-01,EHS-1007B,20,51.77,10,Bescherming,EHS
2023-01-01,EHS-1008B,76,43.11,11,Bescherming,EHS
2023-01-01,EHS-1009B,32,25.11,15,Bescherming,EHS
2023-01-01,EHS-1010B,74,51.5,17,Bescherming,EHS
2023-01-01,EHS-1011B,79,33.68,6,Bescherming,EHS
2023-01-01,EHS-1012B,61,75.53,11,Bescherming,EHS
2023-01-01,EHS-1013B,61,54.31,5,Bescherming,EHS
2023-01-01,EHS-1014B,67,53.92,13,Bescherming,EHS
2023-01-01,EHS-1015B,100,30.19,19,Bescherming,EHS
2023-01-01,EHS-1016B,40,22.57,14,Bescherming,EHS
2023-01-01,EHS-1017B,66,44.7,23,Bescherming,EHS
2023-01-01,EHS-1018B,115,49.68,22,Bescherming,EHS
2023-01-01,EHS-1019B,40,76.06,14,Bescherming,EHS
2023-01-01,RAP-1000S,89,115.3,20,Schaatsen,Raps
2023-01-01,RAP-1001S,15,98.1,14,Schaatsen,Raps
2023-01-01,RAP-1002S,61,74.69,10,Schaatsen,Raps
2023-01-01,RAP-1003S,49,99.19,5,Schaatsen,Raps
2023-01-01,RAP-1004S,50,101.2,8,Schaatsen,Raps
2023-01-01,RAP-1005S,11,44.64,23,Schaatsen,Raps
2023-01-01,RAP-1006S,105,116.97,7,Schaatsen,Raps
2023-01-01,RAP-1007S,20,46.51,6,Schaatsen,Raps
2023-01-01,RAP-1008S,45,33.28,8,Schaatsen,Raps
2023-01-01,RAP-1009S,49,29.13,14,Schaatsen,Raps
2023-01-01,RAP-1010S,12,56.28,17,Schaatsen,Raps
2023-01-01,RAP-1011S,102,95.04,17,Schaatsen,Raps
2023-01-01,RAP-1012S,51,61.51,7,Schaatsen,Raps
2023-01-01,RAP-1013S,26,111.63,12,Schaatsen,Raps
2023-01-01,RAP-1014S,37,88.31,23,Schaatsen,Raps
2023-01-01,RAP-1015S,29,91.99,20,Schaatsen,Raps
2023-01-01,RAP-1016S,26,32.98,21,Schaatsen,Raps
2023-01-01,RAP-1017S,80,24.68,7,Schaatsen,Raps
2023-01-01,RAP-1018S,31,70.82,5,Schaatsen,Raps
2023-01-01,RAP-1019S,105,102.79,7,Schaatsen,Raps
2023-01-01,RAP-1000S,110,35.57,15,Schoenen,Raps
2023-01-01,RAP-1001S,64,36.61,7,Schoenen,Raps
2023-01-01,RAP-1002S,107,113.52,7,Schoenen,Raps
2023-01-01,RAP-1003S,50,116.5,14,Schoenen,Raps
2023-01-01,RAP-1004S,34,113.46,16,Schoenen,Raps
2023-01-01,RAP-1005S,61,45.06,7,Schoenen,Raps
2023-01-01,RAP-1006S,56,30.92,18,Schoenen,Raps
2023-01-01,RAP-1007S,19,55.69,7,Schoenen,Raps
2023-01-01,RAP-1008S,83,34.33,18,Schoenen,Raps
2023-01-01,RAP-1009S,104,75.12,13,Schoenen,Raps
2023-01-01,RAP-1010S,37,36.07,10,Schoenen,Raps
2023-01-01,RAP-1011S,36,84.65,7,Schoenen,Raps
2023-01-01,RAP-1012S,58,58.69,11,Schoenen,Raps
2023-01-01,RAP-1013S,45,52.4,16,Schoenen,Raps
2023-01-01,RAP-1014S,86,90.53,20,Schoenen,Raps
2023-01-01,RAP-1015S,96,65.57,18,Schoenen,Raps
2023-01-01,RAP-1016S,63,87.13,6,Schoenen,Raps
2023-01-01,RAP-1017S,115,76.11,15,Schoenen,Raps
2023-01-01,RAP-1018S,30,45.93,12,Schoenen,Raps
2023-01-01,RAP-1019S,101,85.99,13,Schoenen,Raps
2023-01-01,RAP-1000K,25,110.51,16,Kleding,Raps
2023-01-01,RAP-1001K,25,90.47,18,Kleding,Raps
2023-01-01,RAP-1002K,15,46.18,13,Kleding,Raps
2023-01-01,RAP-1003K,45,61.67,16,Kleding,Raps
2023-01-01,RAP-1004K,110,64.4,15,Kleding,Raps
2023-01-01,RAP-1005K,41,67.79,13,Kleding,Raps
2023-01-01,RAP-1006K,97,73.83,9,Kleding,Raps
2023-01-01,RAP-1007K,33,107.71,19,Kleding,Raps
2023-01-01,RAP-1008K,88,66.4,18,Kleding,Raps
2023-01-01,RAP-1009K,112,15.2,21,Kleding,Raps
2023-01-01,RAP-1010K,41,37.22,16,Kleding,Raps
2023-01-01,RAP-1011K,26,61.18,6,Kleding,Raps
2023-01-01,RAP-1012K,76,18.5,17,Kleding,Raps
2023-01-01,RAP-1013K,61,81.41,12,Kleding,Raps
2023-01-01,RAP-1014K,110,27.19,17,Kleding,Raps
2023-01-01,RAP-1015K,41,83.85,9,Kleding,Raps
2023-01-01,RAP-1016K,20,21.03,21,Kleding,Raps
2023-01-01,RAP-1017K,94,92.23,12,Kleding,Raps
2023-01-01,RAP-1018K,54,63.81,23,Kleding,Raps
2023-01-01,RAP-1019K,116,67.4,14,Kleding,Raps
2023-01-01,RAP-1000A,91,70.86,5,Accessoires,Raps
2023-01-01,RAP-1001A,113,50.24,20,Accessoires,Raps
