date,employee_id,role,hours,hourly_wage
2023-03-07,E1,sales,5.29,18.5
2023-03-07,E2,sales,6.18,17.5
2023-03-07,E3,warehouse,4.94,16.0
2023-03-07,E4,admin,3.06,20.0
2023-03-08,E1,sales,5.6,18.5
2023-03-08,E2,sales,6.3,17.5
2023-03-08,E3,warehouse,6.09,16.0
2023-03-08,E4,admin,4.87,20.0
2023-03-09,E1,sales,5.31,18.5
2023-03-09,E2,sales,7.81,17.5
2023-03-09,E3,warehouse,6.77,16.0
2023-03-09,E4,admin,5.28,20.0
2023-03-10,E1,sales,7.73,18.5
2023-03-10,E2,sales,6.36,17.5
2023-03-10,E3,warehouse,6.08,16.0
2023-03-10,E4,admin,4.85,20.0
2023-03-11,E1,sales,5.72,18.5
2023-03-11,E2,sales,6.08,17.5
2023-03-11,E3,warehouse,6.39,16.0
2023-03-11,E4,admin,2.86,20.0
2023-03-12,E1,sales,4.48,18.5
2023-03-12,E2,sales,8.04,17.5
2023-03-12,E3,warehouse,6.81,16.0
2023-03-12,E4,admin,4.21,20.0
2023-03-13,E1,sales,7.59,18.5
2023-03-13,E2,sales,7.73,17.5
2023-03-13,E3,warehouse,6.57,16.0
2023-03-13,E4,admin,3.46,20.0
2023-03-14,E1,sales,4.78,18.5
2023-03-14,E2,sales,7.22,17.5
2023-03-14,E3,warehouse,5.43,16.0
2023-03-14,E4,admin,3.31,20.0
2023-03-15,E1,sales,8.21,18.5
2023-03-15,E2,sales,5.66,17.5
2023-03-15,E3,warehouse,6.34,16.0
2023-03-15,E4,admin,4.06,20.0
2023-03-16,E1,sales,5.39,18.5
2023-03-16,E2,sales,5.94,17.5
2023-03-16,E3,warehouse,7.76,16.0
2023-03-16,E4,admin,5.43,20.0
2023-03-17,E1,sales,6.06,18.5
2023-03-17,E2,sales,7.46,17.5
2023-03-17,E3,warehouse,6.54,16.0
2023-03-17,E4,admin,4.57,20.0
2023-03-18,E1,sales,5.41,18.5
2023-03-18,E2,sales,5.64,17.5
2023-03-18,E3,warehouse,6.81,16.0
2023-03-18,E4,admin,4.51,20.0
2023-03-19,E1,sales,6.08,18.5
2023-03-19,E2,sales,4.92,17.5
2023-03-19,E3,warehouse,5.79,16.0
2023-03-19,E4,admin,3.0,20.0
2023-03-20,E1,sales,4.41,18.5
2023-03-20,E2,sales,7.25,17.5
2023-03-20,E3,warehouse,5.22,16.0
2023-03-20,E4,admin,4.61,20.0
2023-03-21,E1,sales,6.03,18.5
2023-03-21,E2,sales,4.19,17.5
2023-03-21,E3,warehouse,7.56,16.0
2023-03-21,E4,admin,3.67,20.0
2023-03-22,E1,sales,4.74,18.5
2023-03-22,E2,sales,5.92,17.5
2023-03-22,E3,warehouse,6.86,16.0
2023-03-22,E4,admin,5.21,20.0
2023-03-23,E1,sales,7.48,18.5
2023-03-23,E2,sales,6.79,17.5
2023-03-23,E3,warehouse,5.81,16.0
2023-03-23,E4,admin,3.57,20.0
2023-03-24,E1,sales,6.05,18.5
2023-03-24,E2,sales,5.78,17.5
2023-03-24,E3,warehouse,7.02,16.0
2023-03-24,E4,admin,2.82,20.0
2023-03-25,E1,sales,5.83,18.5
2023-03-25,E2,sales,5.96,17.5
2023-03-25,E3,warehouse,9.37,16.0
2023-03-25,E4,admin,4.76,20.0
2023-03-26,E1,sales,6.27,18.5
2023-03-26,E2,sales,5.36,17.5
2023-03-26,E3,warehouse,5.63,16.0
2023-03-26,E4,admin,3.59,20.0
2023-03-27,E1,sales,6.74,18.5
2023-03-27,E2,sales,7.03,17.5
2023-03-27,E3,warehouse,5.8,16.0
2023-03-27,E4,admin,3.57,20.0
2023-03-28,E1,sales,5.02,18.5
2023-03-28,E2,sales,5.92,17.5
2023-03-28,E3,warehouse,6.37,16.0
2023-03-28,E4,admin,3.37,20.0
2023-03-29,E1,sales,6.62,18.5
2023-03-29,E2,sales,5.35,17.5
2023-03-29,E3,warehouse,6.17,16.0
2023-03-29,E4,admin,3.14,20.0
2023-03-30,E1,sales,5.59,18.5
2023-03-30,E2,sales,5.82,17.5
2023-03-30,E3,warehouse,6.2,16.0
2023-03-30,E4,admin,3.24,20.0
2023-03-31,E1,sales,7.27,18.5
2023-03-31,E2,sales,7.44,17.5
2023-03-31,E3,warehouse,5.62,16.0
2023-03-31,E4,admin,2.7,20.0
2023-04-01,E1,sales,4.97,18.5
2023-04-01,E2,sales,6.38,17.5
2023-04-01,E3,warehouse,6.5,16.0
2023-04-01,E4,admin,3.49,20.0
2023-04-02,E1,sales,5.55,18.5
2023-04-02,E2,sales,6.02,17.5
2023-04-02,E3,warehouse,6.3,16.0
2023-04-02,E4,admin,4.53,20.0
2023-04-03,E1,sales,5.04,18.5
2023-04-03,E2,sales,5.8,17.5
2023-04-03,E3,warehouse,7.23,16.0
2023-04-03,E4,admin,4.57,20.0
2023-04-04,E1,sales,5.11,18.5
2023-04-04,E2,sales,6.66,17.5
2023-04-04,E3,warehouse,5.13,16.0
2023-04-04,E4,admin,3.74,20.0
2023-04-05,E1,sales,5.67,18.5
2023-04-05,E2,sales,4.89,17.5
2023-04-05,E3,warehouse,5.15,16.0
2023-04-05,E4,admin,4.62,20.0
2023-04-06,E1,sales,6.38,18.5
2023-04-06,E2,sales,6.84,17.5
2023-04-06,E3,warehouse,5.52,16.0
2023-04-06,E4,admin,4.36,20.0
2023-04-07,E1,sales,4.43,18.5
2023-04-07,E2,sales,8.2,17.5
2023-04-07,E3,warehouse,5.82,16.0
2023-04-07,E4,admin,5.89,20.0
2023-04-08,E1,sales,4.71,18.5
2023-04-08,E2,sales,6.84,17.5
2023-04-08,E3,warehouse,8.62,16.0
2023-04-08,E4,admin,3.35,20.0
2023-04-09,E1,sales,6.29,18.5
2023-04-09,E2,sales,6.98,17.5
2023-04-09,E3,warehouse,5.98,16.0
2023-04-09,E4,admin,3.72,20.0
2023-04-10,E1,sales,6.35,18.5
2023-04-10,E2,sales,6.87,17.5
2023-04-10,E3,warehouse,7.25,16.0
2023-04-10,E4,admin,6.14,20.0
2023-04-11,E1,sales,6.71,18.5
2023-04-11,E2,sales,8.33,17.5
2023-04-11,E3,warehouse,6.91,16.0
2023-04-11,E4,admin,2.61,20.0
2023-04-12,E1,sales,4.65,18.5
2023-04-12,E2,sales,7.4,17.5
2023-04-12,E3,warehouse,5.25,16.0
2023-04-12,E4,admin,5.08,20.0
2023-04-13,E1,sales,6.42,18.5
2023-04-13,E2,sales,5.59,17.5
2023-04-13,E3,warehouse,6.21,16.0
2023-04-13,E4,admin,3.75,20.0
2023-04-14,E1,sales,6.23,18.5
2023-04-14,E2,sales,7.39,17.5
2023-04-14,E3,warehouse,4.8,16.0
2023-04-14,E4,admin,4.69,20.0
2023-04-15,E1,sales,4.64,18.5
2023-04-15,E2,sales,5.27,17.5
2023-04-15,E3,warehouse,5.67,16.0
2023-04-15,E4,admin,4.51,20.0
2023-04-16,E1,sales,4.95,18.5
2023-04-16,E2,sales,4.73,17.5
2023-04-16,E3,warehouse,7.9,16.0
2023-04-16,E4,admin,3.48,20.0
2023-04-17,E1,sales,7.58,18.5
2023-04-17,E2,sales,5.65,17.5
2023-04-17,E3,warehouse,5.23,16.0
2023-04-17,E4,admin,2.58,20.0
2023-04-18,E1,sales,5.65,18.5
2023-04-18,E2,sales,4.38,17.5
2023-04-18,E3,warehouse,6.99,16.0
2023-04-18,E4,admin,4.0,20.0
2023-04-19,E1,sales,7.51,18.5
2023-04-19,E2,sales,8.12,17.5
2023-04-19,E3,warehouse,5.31,16.0
2023-04-19,E4,admin,5.51,20.0
2023-04-20,E1,sales,5.53,18.5
2023-04-20,E2,sales,5.75,17.5
2023-04-20,E3,warehouse,6.38,16.0
2023-04-20,E4,admin,4.24,20.0
2023-04-21,E1,sales,7.09,18.5
2023-04-21,E2,sales,4.99,17.5
2023-04-21,E3,warehouse,5.52,16.0
2023-04-21,E4,admin,4.09,20.0
2023-04-22,E1,sales,3.68,18.5
2023-04-22,E2,sales,5.22,17.5
2023-04-22,E3,warehouse,6.27,16.0
2023-04-22,E4,admin,2.58,20.0
2023-04-23,E1,sales,7.78,18.5
2023-04-23,E2,sales,6.28,17.5
2023-04-23,E3,warehouse,6.19,16.0
2023-04-23,E4,admin,4.55,20.0
2023-04-24,E1,sales,5.46,18.5
2023-04-24,E2,sales,6.19,17.5
2023-04-24,E3,warehouse,4.04,16.0
2023-04-24,E4,admin,5.44,20.0
2023-04-25,E1,sales,3.94,18.5
2023-04-25,E2,sales,5.26,17.5
2023-04-25,E3,warehouse,5.75,16.0
2023-04-25,E4,admin,6.03,20.0
2023-04-26,E1,sales,6.19,18.5
2023-04-26,E2,sales,5.55,17.5
2023-04-26,E3,warehouse,6.07,16.0
2023-04-26,E4,admin,3.91,20.0
2023-04-27,E1,sales,7.03,18.5
2023-04-27,E2,sales,4.28,17.5
2023-04-27,E3,warehouse,5.56,16.0
2023-04-27,E4,admin,2.25,20.0
2023-04-28,E1,sales,5.04,18.5
2023-04-28,E2,sales,6.8,17.5
2023-04-28,E3,warehouse,7.09,16.0
2023-04-28,E4,admin,4.38,20.0
2023-04-29,E1,sales,4.54,18.5
2023-04-29,E2,sales,4.43,17.5
2023-04-29,E3,warehouse,7.16,16.0
2023-04-29,E4,admin,2.61,20.0
2023-04-30,E1,sales,5.58,18.5
2023-04-30,E2,sales,7.97,17.5
2023-04-30,E3,warehouse,4.74,16.0
2023-04-30,E4,admin,2.0,20.0
2023-05-01,E1,sales,5.61,18.5
2023-05-01,E2,sales,5.16,17.5
2023-05-01,E3,warehouse,3.75,16.0
2023-05-01,E4,admin,4.04,20.0
2023-05-02,E1,sales,4.55,18.5
2023-05-02,E2,sales,5.74,17.5
2023-05-02,E3,warehouse,5.43,16.0
2023-05-02,E4,admin,3.53,20.0
2023-05-03,E1,sales,5.67,18.5
2023-05-03,E2,sales,6.58,17.5
2023-05-03,E3,warehouse,6.11,16.0
2023-05-03,E4,admin,3.9,20.0
2023-05-04,E1,sales,7.47,18.5
2023-05-04,E2,sales,6.04,17.5
2023-05-04,E3,warehouse,5.04,16.0
2023-05-04,E4,admin,6.49,20.0
2023-05-05,E1,sales,5.45,18.5
2023-05-05,E2,sales,6.28,17.5
2023-05-05,E3,warehouse,5.25,16.0
2023-05-05,E4,admin,2.54,20.0
2023-05-06,E1,sales,6.43,18.5
2023-05-06,E2,sales,5.72,17.5
2023-05-06,E3,warehouse,7.29,16.0
2023-05-06,E4,admin,5.06,20.0
2023-05-07,E1,sales,4.63,18.5
2023-05-07,E2,sales,5.74,17.5
2023-05-07,E3,warehouse,6.92,16.0
2023-05-07,E4,admin,3.31,20.0
2023-05-08,E1,sales,5.78,18.5
2023-05-08,E2,sales,5.2,17.5
2023-05-08,E3,warehouse,5.86,16.0
2023-05-08,E4,admin,3.42,20.0
2023-05-09,E1,sales,7.89,18.5
2023-05-09,E2,sales,4.32,17.5
2023-05-09,E3,warehouse,7.3,16.0
2023-05-09,E4,admin,4.37,20.0
2023-05-10,E1,sales,5.14,18.5
2023-05-10,E2,sales,3.62,17.5
2023-05-10,E3,warehouse,6.19,16.0
2023-05-10,E4,admin,4.69,20.0
2023-05-11,E1,sales,7.09,18.5
2023-05-11,E2,sales,6.73,17.5
2023-05-11,E3,warehouse,4.97,16.0
2023-05-11,E4,admin,4.0,20.0
2023-05-12,E1,sales,4.82,18.5
2023-05-12,E2,sales,5.84,17.5
2023-05-12,E3,warehouse,5.27,16.0
2023-05-12,E4,admin,3.94,20.0
2023-05-13,E1,sales,5.56,18.5
2023-05-13,E2,sales,6.82,17.5
2023-05-13,E3,warehouse,6.36,16.0
2023-05-13,E4,admin,4.27,20.0
2023-05-14,E1,sales,6.68,18.5
2023-05-14,E2,sales,4.92,17.5
2023-05-14,E3,warehouse,6.81,16.0
2023-05-14,E4,admin,4.37,20.0
2023-05-15,E1,sales,6.29,18.5
2023-05-15,E2,sales,7.61,17.5
2023-05-15,E3,warehouse,3.76,16.0
2023-05-15,E4,admin,3.88,20.0
2023-05-16,E1,sales,8.38,18.5
2023-05-16,E2,sales,5.24,17.5
2023-05-16,E3,warehouse,6.16,16.0
2023-05-16,E4,admin,3.63,20.0
2023-05-17,E1,sales,5.36,18.5
2023-05-17,E2,sales,6.98,17.5
2023-05-17,E3,warehouse,5.4,16.0
2023-05-17,E4,admin,4.04,20.0
2023-05-18,E1,sales,6.63,18.5
2023-05-18,E2,sales,5.0,17.5
2023-05-18,E3,warehouse,5.59,16.0
2023-05-18,E4,admin,2.82,20.0
2023-05-19,E1,sales,5.89,18.5
2023-05-19,E2,sales,5.46,17.5
2023-05-19,E3,warehouse,5.92,16.0
2023-05-19,E4,admin,3.48,20.0
2023-05-20,E1,sales,7.05,18.5
2023-05-20,E2,sales,6.41,17.5
2023-05-20,E3,warehouse,6.15,16.0
2023-05-20,E4,admin,2.78,20.0
2023-05-21,E1,sales,5.64,18.5
2023-05-21,E2,sales,5.18,17.5
2023-05-21,E3,warehouse,6.05,16.0
2023-05-21,E4,admin,4.64,20.0
2023-05-22,E1,sales,4.52,18.5
2023-05-22,E2,sales,6.06,17.5
2023-05-22,E3,warehouse,4.72,16.0
2023-05-22,E4,admin,3.43,20.0
2023-05-23,E1,sales,8.4,18.5
2023-05-23,E2,sales,6.04,17.5
2023-05-23,E3,warehouse,7.25,16.0
2023-05-23,E4,admin,3.79,20.0
2023-05-24,E1,sales,5.85,18.5
2023-05-24,E2,sales,4.96,17.5
2023-05-24,E3,warehouse,4.13,16.0
2023-05-24,E4,admin,5.49,20.0
2023-05-25,E1,sales,5.69,18.5
2023-05-25,E2,sales,6.31,17.5
2023-05-25,E3,warehouse,8.37,16.0
2023-05-25,E4,admin,5.85,20.0
2023-05-26,E1,sales,6.01,18.5
2023-05-26,E2,sales,7.81,17.5
2023-05-26,E3,warehouse,3.93,16.0
2023-05-26,E4,admin,3.31,20.0
2023-05-27,E1,sales,6.08,18.5
2023-05-27,E2,sales,6.67,17.5
2023-05-27,E3,warehouse,5.6,16.0
2023-05-27,E4,admin,3.48,20.0
2023-05-28,E1,sales,5.77,18.5
2023-05-28,E2,sales,5.47,17.5
2023-05-28,E3,warehouse,5.73,16.0
2023-05-28,E4,admin,4.91,20.0
2023-05-29,E1,sales,5.29,18.5
2023-05-29,E2,sales,6.59,17.5
2023-05-29,E3,warehouse,7.22,16.0
2023-05-29,E4,admin,2.78,20.0
2023-05-30,E1,sales,5.99,18.5
2023-05-30,E2,sales,3.78,17.5
2023-05-30,E3,warehouse,6.28,16.0
2023-05-30,E4,admin,6.16,20.0
2023-05-31,E1,sales,5.97,18.5
2023-05-31,E2,sales,5.81,17.5
2023-05-31,E3,warehouse,5.97,16.0
2023-05-31,E4,admin,4.51,20.0
2023-06-01,E1,sales,5.14,18.5
2023-06-01,E2,sales,7.39,17.5
2023-06-01,E3,warehouse,6.64,16.0
2023-06-01,E4,admin,5.73,20.0
2023-06-02,E1,sales,2.87,18.5
2023-06-02,E2,sales,4.99,17.5
2023-06-02,E3,warehouse,5.94,16.0
2023-06-02,E4,admin,2.7,20.0
2023-06-03,E1,sales,3.87,18.5
2023-06-03,E2,sales,6.97,17.5
2023-06-03,E3,warehouse,5.98,16.0
2023-06-03,E4,admin,4.19,20.0
2023-06-04,E1,sales,7.32,18.5
2023-06-04,E2,sales,4.27,17.5
2023-06-04,E3,warehouse,6.07,16.0
2023-06-04,E4,admin,2.66,20.0
2023-06-05,E1,sales,3.82,18.5
2023-06-05,E2,sales,5.22,17.5
2023-06-05,E3,warehouse,4.61,16.0
2023-06-05,E4,admin,2.61,20.0
2023-06-06,E1,sales,4.76,18.5
2023-06-06,E2,sales,6.95,17.5
2023-06-06,E3,warehouse,6.06,16.0
2023-06-06,E4,admin,4.54,20.0
2023-06-07,E1,sales,4.59,18.5
2023-06-07,E2,sales,7.16,17.5
2023-06-07,E3,warehouse,4.18,16.0
2023-06-07,E4,admin,2.85,20.0
2023-06-08,E1,sales,8.6,18.5
2023-06-08,E2,sales,6.58,17.5
2023-06-08,E3,warehouse,5.28,16.0
2023-06-08,E4,admin,4.87,20.0
2023-06-09,E1,sales,5.35,18.5
2023-06-09,E2,sales,7.0,17.5
2023-06-09,E3,warehouse,5.28,16.0
2023-06-09,E4,admin,5.25,20.0
2023-06-10,E1,sales,6.83,18.5
2023-06-10,E2,sales,5.78,17.5
2023-06-10,E3,warehouse,6.44,16.0
2023-06-10,E4,admin,4.88,20.0
2023-06-11,E1,sales,5.41,18.5
2023-06-11,E2,sales,5.34,17.5
2023-06-11,E3,warehouse,6.48,16.0
2023-06-11,E4,admin,4.65,20.0
2023-06-12,E1,sales,5.31,18.5
